fast,slow,signal,win,lose,result,winrate
7,24,8,143,76,550953.5100000004,65.29680365296804
8,24,7,143,76,550953.5100000004,65.29680365296804
6,23,9,148,79,560414.7600000004,65.19823788546256
9,23,6,148,79,560414.7600000004,65.19823788546256
6,24,9,146,79,551624.5100000005,64.88888888888889
9,24,6,146,79,551624.5100000005,64.88888888888889
7,23,8,143,79,535301.6400000005,64.41441441441441
8,23,7,143,79,535301.6400000005,64.41441441441441
8,23,8,135,75,499653.4100000006,64.28571428571429
8,24,9,131,73,498655.10000000097,64.2156862745098
9,24,8,131,73,498655.10000000097,64.2156862745098
7,22,8,145,81,528134.0400000003,64.15929203539822
8,22,7,145,81,528134.0400000003,64.15929203539822
7,22,9,136,76,496069.3100000006,64.15094339622641
7,23,9,136,76,496147.5100000007,64.15094339622641
9,22,7,136,76,496069.3100000006,64.15094339622641
9,23,7,136,76,496147.5100000007,64.15094339622641
4,20,9,195,109,896674.3099999995,64.14473684210526
9,20,4,195,109,896674.3099999995,64.14473684210526
7,24,9,137,77,508510.4600000005,64.01869158878505
9,24,7,137,77,508510.4600000005,64.01869158878505
4,24,9,183,103,796884.5099999998,63.98601398601399
9,24,4,183,103,796884.5099999998,63.98601398601399
8,22,8,135,76,490322.1900000006,63.981042654028435
9,23,9,122,69,460468.2200000009,63.87434554973822
6,24,8,150,85,555736.05,63.829787234042556
8,24,6,150,85,555736.05,63.829787234042556
6,22,9,146,83,524783.5400000003,63.75545851528384
9,22,6,146,83,524783.5400000003,63.75545851528384
9,24,9,121,69,442428.3000000008,63.68421052631579
4,21,9,192,110,877530.3599999996,63.57615894039735
9,21,4,192,110,877530.3599999996,63.57615894039735
4,22,9,185,106,831431.9899999996,63.57388316151203
9,22,4,185,106,831431.9899999996,63.57388316151203
5,20,8,178,102,781163.3399999995,63.57142857142857
8,20,5,178,102,781163.3399999995,63.57142857142857
5,24,9,157,90,635822.85,63.56275303643725
9,24,5,157,90,635822.85,63.56275303643725
4,23,8,197,113,914194.8299999995,63.54838709677419
8,23,4,197,113,914194.8299999995,63.54838709677419
4,24,8,194,112,888762.1399999994,63.39869281045752
8,24,4,194,112,888762.1399999994,63.39869281045752
5,23,9,159,92,647761.1000000001,63.34661354581673
9,23,5,159,92,647761.1000000001,63.34661354581673
3,24,9,216,125,1050314.3199999996,63.34310850439883
9,24,3,216,125,1050314.3199999996,63.34310850439883
4,23,9,181,105,802252.6599999996,63.28671328671329
9,23,4,181,105,802252.6599999996,63.28671328671329
8,24,8,131,76,472420.2600000006,63.28502415458937
6,23,8,148,86,552601.78,63.24786324786325
8,23,6,148,86,552601.78,63.24786324786325
6,24,6,177,103,781703.6599999998,63.214285714285715
7,21,9,134,78,496542.44000000047,63.20754716981132
9,21,7,134,78,496542.44000000047,63.20754716981132
7,23,7,146,85,544686.78,63.2034632034632
5,21,7,185,108,834300.2299999994,63.13993174061434
7,21,5,185,108,834300.2299999994,63.13993174061434
2,23,5,311,182,1562252.1200000008,63.08316430020284
5,23,2,311,182,1562252.1200000008,63.08316430020284
6,22,6,181,106,814063.2399999998,63.066202090592334
5,18,9,169,99,717158.11,63.059701492537314
9,18,5,169,99,717158.11,63.059701492537314
5,23,6,198,116,952599.9499999995,63.05732484076433
6,23,5,198,116,952599.9499999995,63.05732484076433
8,22,9,128,75,459545.33000000066,63.05418719211823
8,23,9,128,75,471811.2700000008,63.05418719211823
9,22,8,128,75,459545.33000000066,63.05418719211823
9,23,8,128,75,471811.2700000008,63.05418719211823
3,22,9,220,129,1091117.3699999996,63.03724928366762
9,22,3,220,129,1091117.3699999996,63.03724928366762
3,23,8,225,132,1100342.0899999996,63.02521008403362
8,23,3,225,132,1100342.0899999996,63.02521008403362
9,22,9,121,71,462114.8200000009,63.020833333333336
6,20,7,167,98,720007.8100000002,63.0188679245283
7,20,6,167,98,720007.8100000002,63.0188679245283
4,22,8,197,116,939219.5499999995,62.93929712460064
5,24,6,197,116,941334.5999999995,62.93929712460064
6,24,5,197,116,941334.5999999995,62.93929712460064
8,22,4,197,116,939219.5499999995,62.93929712460064
2,24,9,258,152,1260390.2400000002,62.926829268292686
9,24,2,258,152,1260390.2400000002,62.926829268292686
3,24,8,222,131,1106074.1699999995,62.889518413597735
8,24,3,222,131,1106074.1699999995,62.889518413597735
5,22,7,183,108,827177.9399999997,62.88659793814433
5,23,7,183,108,827664.1599999997,62.88659793814433
7,22,5,183,108,827177.9399999997,62.88659793814433
7,23,5,183,108,827664.1599999997,62.88659793814433
9,21,9,122,72,447741.47000000085,62.88659793814433
7,24,7,144,85,519834.3600000001,62.88209606986899
5,21,8,171,101,737035.0599999998,62.86764705882353
8,21,5,171,101,737035.0599999998,62.86764705882353
8,21,8,132,78,483295.16000000044,62.857142857142854
